intervention_id,name,category,target_stream,abatement_low_pct,abatement_base_pct,abatement_high_pct,abatement_unit,capex_inr,savings_model,payback_months,lifetime_years,downtime_days,difficulty,technology,dpr_source,verification_status
"INT-11","Steam Trap Monitoring and Thermodynamic Trap Replacement","energy_efficiency","steam_distribution",6.4,8.5,10.6,"% target stream reduction",180000,"Modelled engineering savings per BEE-SIDHIEE-STM-02",4,12,1,1,"Steam Trap Monitoring and Thermodynamic Trap Replacement","BEE-SIDHIEE-STM-02","VERIFIED_GOVERNMENT"
"INT-12","Condensate Recovery Unit Installation","energy_efficiency","boiler_feedwater",9,12,15,"% target stream reduction",520000,"Modelled engineering savings per BEE-ADEETIE-STM-05",9,12,2,2,"Condensate Recovery Unit Installation","BEE-ADEETIE-STM-05","VERIFIED_GOVERNMENT"
"INT-13","Micro-Turbine High Efficiency Burner Retrofit (Ceramic Kilns)","energy_efficiency","kiln_natural_gas",10.9,14.5,18.1,"% target stream reduction",2200000,"Modelled engineering savings per BEE-SIDHIEE-CER-01",15,12,3,3,"Micro-Turbine High Efficiency Burner Retrofit (Ceramic Kilns)","BEE-SIDHIEE-CER-01","VERIFIED_GOVERNMENT"
"INT-14","Automatic Blowdown Heat Recovery on Steam Boilers","energy_efficiency","boiler_blowdown",3.4,4.5,5.6,"% target stream reduction",350000,"Modelled engineering savings per BEE-ADEETIE-BLR-03",10,12,2,2,"Automatic Blowdown Heat Recovery on Steam Boilers","BEE-ADEETIE-BLR-03","VERIFIED_GOVERNMENT"
"INT-15","Absorption Chiller (VAM) Driven by Waste Heat","waste_heat","chiller_electricity",48.8,65,81.3,"% target stream reduction",4800000,"Modelled engineering savings per BEE-SIDHIEE-VAM-01",26,12,3,3,"Absorption Chiller (VAM) Driven by Waste Heat","BEE-SIDHIEE-VAM-01","VERIFIED_GOVERNMENT"
"INT-16","Oxygen Trim Automation on Industrial Burners","energy_efficiency","combustion_excess_air",2.8,3.8,4.8,"% target stream reduction",420000,"Modelled engineering savings per BEE-ADEETIE-O2-01",8,12,1,1,"Oxygen Trim Automation on Industrial Burners","BEE-ADEETIE-O2-01","VERIFIED_GOVERNMENT"
"INT-17","High Emissivity Ceramic Coating on Furnace Refractory","energy_efficiency","furnace_radiation_loss",4.7,6.2,7.8,"% target stream reduction",280000,"Modelled engineering savings per BEE-SIDHIEE-FUR-04",7,12,1,1,"High Emissivity Ceramic Coating on Furnace Refractory","BEE-SIDHIEE-FUR-04","VERIFIED_GOVERNMENT"
"INT-18","Induction Billet Heating System Upgradation (Steel Re-Rolling)","energy_efficiency","billet_reheating",16.5,22,27.5,"% target stream reduction",6500000,"Modelled engineering savings per BEE-SIDHIEE-STL-03",24,12,4,4,"Induction Billet Heating System Upgradation (Steel Re-Rolling)","BEE-SIDHIEE-STL-03","VERIFIED_GOVERNMENT"
"INT-19","Regenerative Burners on Aluminium Melting Furnace","energy_efficiency","aluminium_smelting_fuel",24,32,40,"% target stream reduction",4500000,"Modelled engineering savings per BEE-SIDHIEE-ALU-02",19,12,3,3,"Regenerative Burners on Aluminium Melting Furnace","BEE-SIDHIEE-ALU-02","VERIFIED_GOVERNMENT"
"INT-20","Centrifugal Air Compressor Sequencing & Central Control","energy_efficiency","compressor_power",8.6,11.5,14.4,"% target stream reduction",480000,"Modelled engineering savings per BEE-ADEETIE-AIR-04",6,12,1,1,"Centrifugal Air Compressor Sequencing & Central Control","BEE-ADEETIE-AIR-04","VERIFIED_GOVERNMENT"
"INT-21","Closed-Loop Water Recycling with Reverse Osmosis & MEE","circular_water","process_effluent",66,88,110,"% target stream reduction",8200000,"Modelled engineering savings per CPCB-ZLD-Textile-Guidelines",32,12,4,4,"Closed-Loop Water Recycling with Reverse Osmosis & MEE","CPCB-ZLD-Textile-Guidelines","VERIFIED_GOVERNMENT"
"INT-22","Post-Consumer rPET Flake Blending (30% Circular Feedstock)","circular_material","virgin_pet_polymer",17.1,22.8,28.5,"% target stream reduction",250000,"Modelled engineering savings per PlasticsEurope-Eco-Profile-2024",3,12,1,1,"Post-Consumer rPET Flake Blending (30% Circular Feedstock)","PlasticsEurope-Eco-Profile-2024","VERIFIED_GOVERNMENT"
"INT-23","Post-Industrial Textile Clip Mechanical Shredding & Garnetting","circular_material","virgin_cotton_lint",49.8,66.4,83,"% target stream reduction",1400000,"Modelled engineering savings per TextileExchange-Circular-2026",12,12,2,2,"Post-Industrial Textile Clip Mechanical Shredding & Garnetting","TextileExchange-Circular-2026","VERIFIED_GOVERNMENT"
"INT-24","Foundry Slag Valorization as Highway Sub-base Aggregate","circular_byproduct","blast_furnace_slag",69,92,115,"% target stream reduction",180000,"Modelled engineering savings per IRC-Guidelines-Slag-Roads",2,12,1,1,"Foundry Slag Valorization as Highway Sub-base Aggregate","IRC-Guidelines-Slag-Roads","VERIFIED_GOVERNMENT"
"INT-25","Electric Heavy Commercial Truck (55t) Freight Transition","logistics_decarb","logistics_diesel",38.3,51,63.8,"% target stream reduction",9500000,"Modelled engineering savings per GLEC-India-SFC-Freight-2024",48,12,3,3,"Electric Heavy Commercial Truck (55t) Freight Transition","GLEC-India-SFC-Freight-2024","VERIFIED_GOVERNMENT"
"INT-26","Rail Intermodal Freight Shift for Bulk Clinker/Steel","logistics_decarb","long_haul_trucking",53.2,70.9,88.6,"% target stream reduction",0,"Modelled engineering savings per Indian-Railways-Freight-Incentive",0,12,2,2,"Rail Intermodal Freight Shift for Bulk Clinker/Steel","Indian-Railways-Freight-Incentive","VERIFIED_GOVERNMENT"
"INT-27","Biogas Upgradation to Bio-CNG for In-Plant Forklifts & Fleet","fuel_switching","fleet_diesel_lpg",63.8,85,106.3,"% target stream reduction",3800000,"Modelled engineering savings per MNRE-SATAT-BioCNG-Manual",22,12,3,3,"Biogas Upgradation to Bio-CNG for In-Plant Forklifts & Fleet","MNRE-SATAT-BioCNG-Manual","VERIFIED_GOVERNMENT"
"INT-28","Harmonic Filter & Power Factor Correction Unit (0.99 pf)","energy_efficiency","transformer_losses",2.6,3.5,4.4,"% target stream reduction",380000,"Modelled engineering savings per CEA-Power-Quality-Manual",8,12,1,1,"Harmonic Filter & Power Factor Correction Unit (0.99 pf)","CEA-Power-Quality-Manual","VERIFIED_GOVERNMENT"
"INT-29","Smart Energy Management System (ISO 50001 IoT Metering)","digital_intelligence","unmetered_plant_power",4.1,5.5,6.9,"% target stream reduction",750000,"Modelled engineering savings per BEE-ADEETIE-IOT-01",9,12,1,1,"Smart Energy Management System (ISO 50001 IoT Metering)","BEE-ADEETIE-IOT-01","VERIFIED_GOVERNMENT"
"INT-30","Waste Heat Organic Rankine Cycle (ORC) Power Generation","waste_heat_to_power","low_temperature_exhaust",13.5,18,22.5,"% target stream reduction",14500000,"Modelled engineering savings per BEE-SIDHIEE-ORC-03",42,12,4,4,"Waste Heat Organic Rankine Cycle (ORC) Power Generation","BEE-SIDHIEE-ORC-03","VERIFIED_GOVERNMENT"
