intervention_id,intervention_name,category,target_stream,abatement_low_fraction,abatement_base_fraction,abatement_high_fraction,abatement_unit,abatement_source_id,capex_basis,capex_inr,savings_model,asset_lifetime_years,max_substitution_fraction,blocked_sectors,sector_caps,difficulty_score_1_to_5,disruption_downtime_days,confidence_tier,planning_grade_capex,actual_vendor_quote_required
"INT-REC-STEEL","Secondary EAF / Scrap-Derived Steel Billet Substitution","material","mat_steel",0.7,0.75,0.78,"fraction_of_target_stream","SRC-WORLDSTEEL-2026","procurement",200000,"price_delta",5,0.8,"[]","{""auto_components"":0.45}",2,0,"HIGH",true,true
"INT-REC-COTTON","Recycled Cotton Comber Noil / Mechanically Recycled Fibre","material","mat_cotton_yarn",0.6,0.67,0.72,"fraction_of_target_stream","SRC-TEXTILE-2026","blending",150000,"price_delta",5,0.25,"[]","{}",3,1,"MEDIUM",true,true
"INT-RPET","Post-Consumer Recycled PET (rPET) Resin Substitution","material","mat_pet",0.5,0.57,0.62,"fraction_of_target_stream","SRC-PLASTICSEUROPE-2024","crystallizer",450000,"price_delta",7,0.5,"[""pharma_formulation""]","{""food_processing"":0.35}",3,2,"HIGH",true,true
"INT-BLENDED-CEMENT","Portland Pozzolana Cement (PPC) / Slag Cement (PSC) Switch","material","mat_cement",0.3,0.35,0.4,"fraction_of_target_stream","SRC-GCCA-2023","silo_switch",120000,"price_delta",10,0.7,"[]","{}",1,0,"HIGH",true,true
"INT-REC-BOARD","High Recycled-Content Corrugated Shipping Packaging","material","mat_paper",0.3,0.36,0.42,"fraction_of_target_stream","SRC-CEPI-2020","specification",50000,"price_delta",3,0.9,"[]","{}",1,0,"HIGH",true,true
"INT-CULLET-GLASS","Beneficiated Post-Consumer Glass Cullet Melting Addition","material","mat_glass",0.3,0.36,0.42,"fraction_of_target_stream","SRC-FEVE-2020","crusher",600000,"price_delta",10,0.6,"[]","{}",2,1,"HIGH",true,true
"INT-FLY-ASH-BRICK","Fly Ash & Pond Ash Masonry Block Substitution","material","mat_cement",0.4,0.5,0.6,"fraction_of_target_stream","SRC-MOEFCC-ASH","procurement",100000,"price_delta",5,0.6,"[]","{}",1,0,"HIGH",true,true
"INT-COLD-DYEING","Cold-Pad-Batch Dyeing for Cellulosic Woven Fabrics","process","thermal_fuel",0.2,0.3,0.4,"fraction_of_target_stream","SRC-BEE-MAPPING","dyeing_padder",1800000,"avoided_purchase",10,,"[""foundry_casting"",""ceramics"",""auto_components"",""paper_packaging"",""fabrication"",""chemicals""]","{}",3,3,"MEDIUM",true,true
"INT-OXY-FUEL","Oxy-Fuel Combustion Conversion on Melting Furnaces","process","thermal_fuel",0.15,0.25,0.35,"fraction_of_target_stream","SRC-BEE-MAPPING","skid",3200000,"avoided_purchase",10,,"[""textile_dyeing"",""food_processing"",""pharma_formulation"",""plastic_moulding""]","{}",4,5,"MEDIUM",true,true
"INT-COMBUSTION-TUNING","Automated Flue Gas O2 Trim & Air-to-Fuel Ratio Control","process","thermal_fuel",0.03,0.05,0.07,"fraction_of_target_stream","SRC-BEE-MAPPING","sensor_kit",380000,"avoided_purchase",7,,"[]","{}",2,1,"HIGH",true,true
"INT-FOUNDRY-SAND-RECLAIM","Thermal-Mechanical Sand Reclamation Loop","process","waste",0.6,0.75,0.85,"fraction_of_target_stream","SRC-BEE-MAPPING","reclaimer",4200000,"avoided_purchase",12,,"[""textile_dyeing"",""food_processing"",""pharma_formulation"",""plastic_moulding"",""paper_packaging""]","{}",3,4,"HIGH",true,true
"INT-INHOUSE-REGRIND","Closed-Loop Runner Regrind & Internal Polymer Recycling","process","waste",0.5,0.7,0.85,"fraction_of_target_stream","SRC-BEE-MAPPING","granulator",280000,"avoided_purchase",8,,"[""foundry_casting"",""ceramics"",""textile_dyeing""]","{}",2,0,"HIGH",true,true
"INT-ANAEROBIC-DIGESTION","On-site Bio-Methanation of Organic Wet Effluent & Sludge","waste","waste",0.7,0.85,0.95,"fraction_of_target_stream","SRC-BEE-MAPPING","cbr_reactor",2600000,"avoided_purchase",15,,"[""foundry_casting"",""fabrication""]","{}",4,4,"MEDIUM",true,true
"INT-SOLVENT-RECOVERY","Wiped-Film Evaporator & Solvent Fractional Distillation","waste","waste",0.6,0.75,0.85,"fraction_of_target_stream","SRC-BEE-MAPPING","distillation_skid",1950000,"price_delta",10,,"[""textile_dyeing"",""ceramics"",""fabrication"",""paper_packaging""]","{}",3,2,"HIGH",true,true
"INT-SLAG-VALORISATION","Blast Furnace / Cupola Slag Offtake for Cement Co-Processing","waste","waste",0.5,0.7,0.85,"fraction_of_target_stream","SRC-BEE-MAPPING","handling",150000,"price_delta",5,,"[""textile_dyeing"",""food_processing"",""pharma_formulation"",""plastic_moulding""]","{}",2,0,"HIGH",true,true
"INT-COMPOSTING","On-Site Rotary Drum Composting for Organic Solid Waste","waste","waste",0.4,0.6,0.75,"fraction_of_target_stream","SRC-BEE-MAPPING","drum",320000,"avoided_purchase",8,,"[""foundry_casting"",""auto_components"",""fabrication""]","{}",2,0,"MEDIUM",true,true
"INT-MODAL-SHIFT-RAIL","Inbound Bulk Freight Modal Shift from Road to Rail","logistics","freight_inbound",0.65,0.76,0.82,"fraction_of_target_stream","SRC-SFC-INDIA-2026","siding_handling",800000,"price_delta",10,0.8,"[]","{}",3,0,"MEDIUM",true,true
"INT-ROUTE-OPTIMISATION","Finished Goods Distribution Dispatch & Cube Optimization","logistics","freight_outbound",0.08,0.12,0.16,"fraction_of_target_stream","SRC-SFC-INDIA-2026","tms_software",240000,"avoided_purchase",5,,"[]","{}",1,0,"HIGH",true,true
