intervention_id,intervention_name,category,target_stream,applicable_sectors,abatement_low_fraction,abatement_base_fraction,abatement_high_fraction,abatement_unit,abatement_source_id,capex_basis,capex_inr,savings_model,asset_lifetime_years,max_substitution_fraction,blocked_sectors,sector_caps,difficulty_score_1_to_5,disruption_downtime_days,confidence_tier,evidence_notes,actual_vendor_quote_required
"INT-BIOMASS-SWITCH","Fuel Switch from Coal to Agricultural Residue Briquettes","energy","thermal_fuel","textile_dyeing; foundry_casting; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.7,0.85,0.95,"fraction_of_target_stream","SRC-BEE-MAPPING","burner_mod",850000,"fuel_switch",8,1,"ceramics","{}",3,3,"HIGH","Replaces coal with biomass. Blocked for ceramics because fly ash ruins glazed tile finish.",true
"INT-REC-ALUM","Secondary / Recycled Aluminium Alloy Ingot Substitution","material","mat_aluminium","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.9,0.95,0.96,"fraction_of_target_stream","SRC-IAI-2022","blending_system",300000,"price_delta",10,0.7,"","{}",2,1,"HIGH","IAI verified ~95% embodied emissions reduction; capped at 70% due to alloy trace element specifications.",true
"INT-REC-STEEL","Secondary EAF / Scrap-Derived Steel Billet Substitution","material","mat_steel","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.7,0.75,0.78,"fraction_of_target_stream","SRC-WORLDSTEEL-2026","procurement",200000,"price_delta",5,0.8,"","{""auto_components"":0.45}",2,0,"HIGH","Scrap-based steel substitution. Capped at 45% in automotive components due to OEM fatigue certification.",true
"INT-REC-COTTON","Recycled Cotton Comber Noil / Mechanically Recycled Fibre","material","mat_cotton_yarn","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.6,0.67,0.72,"fraction_of_target_stream","SRC-TEXTILE-2026","blending",150000,"price_delta",5,0.25,"","{}",3,1,"MEDIUM","Capped strictly at 25% because staple length degrades with mechanical shredding.",true
"INT-RPET","Post-Consumer Recycled PET (rPET) Resin Substitution","material","mat_pet","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; plastic_moulding; paper_packaging; fabrication; chemicals",0.5,0.57,0.62,"fraction_of_target_stream","SRC-PLASTICSEUROPE-2024","crystallizer",450000,"price_delta",7,0.5,"pharma_formulation","{""food_processing"":0.35}",3,2,"HIGH","Blocked for pharma formulations due to US/EU pharmacopeia primary packaging GMP rules. Capped at 35% in food contact.",true
"INT-BLENDED-CEMENT","Portland Pozzolana Cement (PPC) / Slag Cement (PSC) Switch","material","mat_cement","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.3,0.35,0.4,"fraction_of_target_stream","SRC-GCCA-2023","silo_switch",120000,"price_delta",10,0.7,"","{}",1,0,"HIGH","Complies with IS 1489 / IS 455 standards. Direct substitution for non-rapid-hardening structural work.",true
"INT-REC-BOARD","High Recycled-Content Corrugated Shipping Packaging","material","mat_paper","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.3,0.36,0.42,"fraction_of_target_stream","SRC-CEPI-2020","specification",50000,"price_delta",3,0.9,"","{}",1,0,"HIGH","Near-frictionless switch for secondary transit cartons.",true
"INT-CULLET-GLASS","Beneficiated Post-Consumer Glass Cullet Melting Addition","material","mat_glass","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.3,0.36,0.42,"fraction_of_target_stream","SRC-FEVE-2020","crusher",600000,"price_delta",10,0.6,"","{}",2,1,"HIGH","FEVE LCI verified. Lowers furnace melting temperature.",true
"INT-FLY-ASH-BRICK","Fly Ash & Pond Ash Masonry Block Substitution","material","mat_cement","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.4,0.5,0.6,"fraction_of_target_stream","SRC-MOEFCC-ASH","procurement",100000,"price_delta",5,0.6,"","{}",1,0,"HIGH","Mandated under MoEFCC Ash Utilisation Notification.",true
"INT-COLD-DYEING","Cold-Pad-Batch Dyeing for Cellulosic Woven Fabrics","process","thermal_fuel","textile_dyeing; food_processing; pharma_formulation; plastic_moulding",0.2,0.3,0.4,"fraction_of_target_stream","SRC-BEE-MAPPING","dyeing_padder",1800000,"avoided_purchase",10,,"foundry_casting; ceramics; auto_components; paper_packaging; fabrication; chemicals","{}",3,3,"MEDIUM","Eliminates high-temperature dye bath heating for cotton fabric lots.",true
"INT-OXY-FUEL","Oxy-Fuel Combustion Conversion on Melting Furnaces","process","thermal_fuel","foundry_casting; ceramics; auto_components; paper_packaging; fabrication; chemicals",0.15,0.25,0.35,"fraction_of_target_stream","SRC-BEE-MAPPING","skid",3200000,"avoided_purchase",10,,"textile_dyeing; food_processing; pharma_formulation; plastic_moulding","{}",4,5,"MEDIUM","Replaces combustion air with pure oxygen, drastically lowering exhaust flue losses.",true
"INT-COMBUSTION-TUNING","Automated Flue Gas O2 Trim & Air-to-Fuel Ratio Control","process","thermal_fuel","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.03,0.05,0.07,"fraction_of_target_stream","SRC-BEE-MAPPING","sensor_kit",380000,"avoided_purchase",7,,"","{}",2,1,"HIGH","Zirconia oxygen sensor dynamically corrects excess combustion air.",true
"INT-FOUNDRY-SAND-RECLAIM","Thermal-Mechanical Sand Reclamation Loop","process","waste","foundry_casting; ceramics; auto_components; fabrication; chemicals",0.6,0.75,0.85,"fraction_of_target_stream","SRC-BEE-MAPPING","reclaimer",4200000,"avoided_purchase",12,,"textile_dyeing; food_processing; pharma_formulation; plastic_moulding; paper_packaging","{}",3,4,"HIGH","Reclaims 75% of silica sand and cuts hazardous core-sand disposal fees.",true
"INT-INHOUSE-REGRIND","Closed-Loop Runner Regrind & Internal Polymer Recycling","process","waste","food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.5,0.7,0.85,"fraction_of_target_stream","SRC-BEE-MAPPING","granulator",280000,"avoided_purchase",8,,"foundry_casting; ceramics; textile_dyeing","{}",2,0,"HIGH","Granulates and blends runners immediately back into moulding hoppers.",true
"INT-ANAEROBIC-DIGESTION","On-site Bio-Methanation of Organic Wet Effluent & Sludge","waste","waste","textile_dyeing; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; chemicals",0.7,0.85,0.95,"fraction_of_target_stream","SRC-BEE-MAPPING","cbr_reactor",2600000,"avoided_purchase",15,,"foundry_casting; fabrication","{}",4,4,"MEDIUM","Diverts high-COD effluent from aerobic lagoons to anaerobic digester.",true
"INT-SOLVENT-RECOVERY","Wiped-Film Evaporator & Solvent Fractional Distillation","waste","waste","foundry_casting; food_processing; auto_components; pharma_formulation; plastic_moulding; chemicals",0.6,0.75,0.85,"fraction_of_target_stream","SRC-BEE-MAPPING","distillation_skid",1950000,"price_delta",10,,"textile_dyeing; ceramics; fabrication; paper_packaging","{}",3,2,"HIGH","Recovers 75% of isopropyl alcohol and ethyl acetate on-site.",true
"INT-SLAG-VALORISATION","Blast Furnace / Cupola Slag Offtake for Cement Co-Processing","waste","waste","foundry_casting; ceramics; auto_components; paper_packaging; fabrication; chemicals",0.5,0.7,0.85,"fraction_of_target_stream","SRC-BEE-MAPPING","handling",150000,"price_delta",5,,"textile_dyeing; food_processing; pharma_formulation; plastic_moulding","{}",2,0,"HIGH","Industrial symbiosis turning solid metallurgical waste into revenue stream.",true
"INT-COMPOSTING","On-Site Rotary Drum Composting for Organic Solid Waste","waste","waste","textile_dyeing; ceramics; food_processing; pharma_formulation; plastic_moulding; paper_packaging; chemicals",0.4,0.6,0.75,"fraction_of_target_stream","SRC-BEE-MAPPING","drum",320000,"avoided_purchase",8,,"foundry_casting; auto_components; fabrication","{}",2,0,"MEDIUM","Avoids methane generation from uncontrolled dump sites.",true
"INT-MODAL-SHIFT-RAIL","Inbound Bulk Freight Modal Shift from Road to Rail","logistics","freight_inbound","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.65,0.76,0.82,"fraction_of_target_stream","SRC-SFC-INDIA-2026","siding_handling",800000,"price_delta",10,0.8,"","{}",3,0,"MEDIUM","Rail emits ~0.022 kgCO2e/t-km vs road at ~0.095. Lowers Scope 3 bulk transport.",true
"INT-ROUTE-OPTIMISATION","Finished Goods Distribution Dispatch & Cube Optimization","logistics","freight_outbound","textile_dyeing; foundry_casting; ceramics; food_processing; auto_components; pharma_formulation; plastic_moulding; paper_packaging; fabrication; chemicals",0.08,0.12,0.16,"fraction_of_target_stream","SRC-SFC-INDIA-2026","tms_software",240000,"avoided_purchase",5,,"","{}",1,0,"HIGH","Load consolidations cut empty running and trip frequencies.",true
