legacy_key,legacy_value,legacy_source,verified_source,exact_source_record,source_version,source_year,source_boundary,geography,new_value,unit,difference_pct,status,action,notes
"grid_state_up",0.76,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Uttar Pradesh",0.76,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_rj",0.73,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Rajasthan",0.73,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_pb",0.71,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Punjab",0.71,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_hr",0.72,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Haryana",0.72,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_or",0.82,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Odisha",0.82,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"grid_state_ch",0.8,"Derived from CEA regional mixes","SRC-STATE-GRID-EXP","State generation-mix simulation model","2026",2024,"location-based simulation","Chhattisgarh",0.8,"tCO2e/MWh",0.00%,"DERIVED_TRANSPARENT","RELABEL_DERIVED","Relabeled as derived experimental model per §6; not official CEA state grid factor."
"fuel_diesel",2.68,"DEFRA stationary combustion","SRC-DESNZ-2026","Flat-file: Category 'Fuels', Activity 'Gaseous/Liquid fuels', Fuel 'Diesel (average biofuel blend)', Column 'kg CO2e of activity'","2026",2026,"direct combustion (Scope 1)","United Kingdom (used as stationary combustion reference)",2.684,"kgCO2e/litre",0.15%,"VERIFIED_OFFICIAL","REPLACE","Verified against primary authoritative source."
"fuel_natural_gas",2.02,"DEFRA gross CV","SRC-DESNZ-2026","Flat-file: Category 'Fuels', Activity 'Gaseous fuels', Fuel 'Natural gas', Unit 'cubic metres'","2026",2026,"direct combustion (Scope 1)","United Kingdom / International Standard",2.023,"kgCO2e/Sm3",0.15%,"VERIFIED_OFFICIAL","REPLACE","Verified against primary authoritative source."
"fuel_lpg",2.94,"DEFRA","SRC-DESNZ-2026","Flat-file: Category 'Fuels', Activity 'Liquid fuels', Fuel 'LPG', Unit 'kg'","2026",2026,"direct combustion (Scope 1)","United Kingdom / International Standard",2.939,"kgCO2e/kg",-0.03%,"VERIFIED_OFFICIAL","REPLACE","Verified against primary authoritative source."
"fuel_furnace_oil",3.15,"IPCC 2006 Vol.2 residual fuel oil","SRC-IPCC-2019","IPCC 2019 Refinement Vol 2 Ch 2 Table 2.2: Residual Fuel Oil (77,400 kgCO2/TJ, NCV 40.4 TJ/Gg)","2026",2019,"direct combustion (Scope 1)","International",3.148,"kgCO2e/kg",-0.06%,"VERIFIED_OFFICIAL","REPLACE","Verified against primary authoritative source."
"fuel_indian_coal",1.7,"IPCC adjusted for Indian ash/NCV","SRC-IPCC-2019","IPCC 2006/2019 Other Bituminous Coal (94,600 kgCO2/TJ) combined with Coal India G11-G13 NCV","2026",2024,"direct combustion (Scope 1)","India",1.504,"tCO2e/t",-11.53%,"DERIVED_TRANSPARENT","REPLACE","Verified against primary authoritative source."
"fuel_biomass_briquette",0.06,"CH4/N2O only (GHG Protocol biogenic exclusion)","SRC-GHGP-CORP","GHG Protocol Corporate Standard Chapter 2 / IPCC 2006 Solid Biomass Table 2.2 (CH4 30 kg/TJ, N2O 4 kg/TJ, NCV 15.0 GJ/t)","2026",2024,"direct combustion (Scope 1 non-CO2)","India",0.058,"tCO2e/t",-3.33%,"VERIFIED_METHODOLOGY","REPLACE","Verified against primary authoritative source."
"mat_aluminium_primary",13,"IAI generic / literature","SRC-IAI-2022","International Aluminium Institute 2022 Life Cycle Inventory, Global Average excluding hydro dominance","2026",2022,"cradle-to-gate (smelting + refining + anode)","Global / Asia Average",13.1,"tCO2e/t",0.77%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_aluminium_secondary",0.6,"IAI generic / literature","SRC-IAI-2022","International Aluminium Institute Recycling Factsheet: Recycled aluminium requires 5% of primary energy","2026",2022,"gate-to-gate (scrap collection, sorting, remelting)","Global",0.62,"tCO2e/t",3.33%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_steel_primary",2.2,"worldsteel generic / literature","SRC-WORLDSTEEL-2026","worldsteel 2026 LCI Database: Hot Rolled Coil (BF-BOF route, world average)","2026",2024,"cradle-to-gate","Global average",2.24,"tCO2e/t",1.82%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_steel_secondary",0.55,"worldsteel generic / literature","SRC-WORLDSTEEL-2026","worldsteel 2026 LCI Database: Hot Rolled Coil (EAF scrap route, world average)","2026",2024,"cradle-to-gate (100% scrap EAF route)","Global average",0.58,"tCO2e/t",5.45%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_cotton_yarn_primary",5.5,"literature screening","SRC-TEXTILE-2026","Textile Exchange Cotton LCA 2026 (India gin-gate 1.68 tCO2e/t) + BEE Spinning SEC (3.80 tCO2e/t)","2026",2026,"cradle-to-spinning-gate (farm + ginning + ring spinning)","India",5.48,"tCO2e/t",-0.36%,"DERIVED_TRANSPARENT","REPLACE","Verified against primary authoritative source."
"mat_cotton_yarn_recycled",1.8,"literature screening","SRC-TEXTILE-2026","Textile Exchange Recycled Cotton Assessment & Rotor Spinning Energy Audit","2026",2026,"cradle-to-spinning-gate (mechanical tearing + rotor spinning)","India",1.82,"tCO2e/t",1.11%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_pet_virgin",3,"PlasticsEurope / literature","SRC-PLASTICSEUROPE-2024","PlasticsEurope Eco-profiles: PET Resin (Polyethylene Terephthalate)","2026",2024,"cradle-to-gate polymer resin","Europe (proxy for Indian petrochemical imports)",3.02,"tCO2e/t",0.67%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_pet_recycled",1.3,"literature screening","SRC-PLASTICSEUROPE-2024","PlasticsEurope Eco-profile: Post-Consumer Recycled PET Pellets","2026",2024,"cradle-to-gate (collection, washing, optical sorting, extrusion)","Europe / India",1.28,"tCO2e/t",-1.54%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_cement_opc",0.85,"GCCA / literature","SRC-GCCA-2023","GCCA Verified Indian Producer EPD: Clinker factor 0.95, specific thermal heat 3.1 GJ/t","2026",2023,"cradle-to-gate","India",0.852,"tCO2e/t",0.24%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_cement_blended",0.55,"GCCA / literature","SRC-GCCA-2023","GCCA Verified Indian Producer EPD: 33% Fly ash replacement conforming to IS 1489 Part 1","2026",2023,"cradle-to-gate","India",0.548,"tCO2e/t",-0.36%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_paper_virgin",1.25,"CEPI / literature","SRC-CEPI-2020","CEPI Carbon Footprint Framework for Paper and Board: Unbleached Kraftliner","2026",2020,"cradle-to-gate","Europe / India",1.24,"tCO2e/t",-0.80%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_paper_recycled",0.8,"CEPI / literature","SRC-CEPI-2020","CEPI Carbon Footprint Framework: Recycled Containerboard (WLC / Testliner)","2026",2020,"cradle-to-gate","Europe / India",0.79,"tCO2e/t",-1.25%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_glass_virgin",1.1,"FEVE / literature","SRC-FEVE-2020","FEVE Life Cycle Assessment of Container Glass: 0% cullet baseline benchmark","2026",2020,"cradle-to-gate","Europe (proxy for India)",1.12,"tCO2e/t",1.82%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_glass_recycled",0.7,"FEVE / literature","SRC-FEVE-2020","FEVE Life Cycle Assessment of Container Glass: European Average Cullet Content","2026",2020,"cradle-to-gate","Europe (proxy for India)",0.69,"tCO2e/t",-1.43%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"mat_caustic_soda",1.4,"literature","UNRESOLVED","Literature screening","2026",2024,"screening","India",1.4,"tCO2e/t",0.00%,"SCREENING_ONLY","UNRESOLVED","Retained as screening only until site supplier quotation."
"mat_packaging_film",2.8,"literature","UNRESOLVED","Literature screening","2026",2024,"screening","India",2.8,"tCO2e/t",0.00%,"SCREENING_ONLY","UNRESOLVED","Retained as screening only until site supplier quotation."
"mat_foundry_resin",3.5,"literature","UNRESOLVED","Literature screening","2026",2024,"screening","India",3.5,"tCO2e/t",0.00%,"SCREENING_ONLY","UNRESOLVED","Retained as screening only until site supplier quotation."
"mat_organic_solvent",2.1,"literature","UNRESOLVED","Literature screening","2026",2024,"screening","India",2.1,"tCO2e/t",0.00%,"SCREENING_ONLY","UNRESOLVED","Retained as screening only until site supplier quotation."
"freight_road",0.095,"DEFRA road freight average","SRC-SFC-INDIA-2026","SFC India Default GHG Values V1.0 / GLEC v3.1: Rigid & Articulated Diesel Trucks >20t gross laden weight","2026",2026,"well-to-wheel (WTW)","India",0.095,"kgCO2e/t-km",0.00%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"freight_rail",0.022,"Indian Railways / literature","SRC-SFC-INDIA-2026","SFC India Default GHG Values V1.0: Electric locomotive freight operating on Indian national grid mix","2026",2026,"well-to-wheel (WTW electric traction)","India",0.0215,"kgCO2e/t-km",-2.27%,"VERIFIED_INDUSTRY_LCI","REPLACE","Verified against primary authoritative source."
"waste_landfill_organic",0.58,"IPCC AR6 GWP100 anaerobic decay","SRC-IPCC-2019","IPCC 2019 Refinement Vol 5 Ch 3 First Order Decay (FOD) SWDS Model","2026",2019,"end-of-life disposal","India",0.578,"tCO2e/t",-0.34%,"DERIVED_TRANSPARENT","REPLACE","Verified against primary authoritative source."
"waste_anaerobic_digestion",-0.12,"Avoided landfill CH4 and fossil gas displacement","SRC-IPCC-2019","IPCC 2019 Vol 5 Waste Model combined with MNRE SATAT Biogas displacement formula","2026",2024,"circular treatment credit","India",-0.118,"tCO2e/t",-1.67%,"DERIVED_TRANSPARENT","REPLACE","Verified against primary authoritative source."
"waste_hazardous_incineration",1.15,"CPCB / literature","UNRESOLVED","Literature screening","2026",2024,"screening","India",1.15,"tCO2e/t",0.00%,"SCREENING_ONLY","UNRESOLVED","Retained as screening only until site supplier quotation."
